title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
200 Golden Hadith,,"['Islam', 'Religion', 'Nonfiction']","Get this book from iBook store by following URL http://goo.gl/eNxGwdEvery Muslim is aware of the importance of the Prophet’s hadiths. Islam is based on two major sources: the Qur’an and the Sunnah, and the latter is available to us in the form of hadiths. The Prophet said, “Whoever comes to know one hadith of mine should spread it.” However, the Prophet also told us to be careful when spreading his hadiths so as not to alter any component of it, otherwise, “he can take his seat in the hellfire.”Within this book I have incorporated 200 small hadiths of the Prophet. The reason for choosing the smaller hadiths of the Prophets is so that the youth can easily become accustomed to the words of the Prophet. All the hadiths concern the important matters of the religion, which every person should have knowledge of. I have come to the realization that many youth from among the Muslims have not memorized even one hadith of the Prophet. For this reason I have chosen smaller hadiths so that they can be easily memorized by them and they can spread them to others. This way our relatives and our friends can memorize some words of the Prophet which will bring them benefit in the hereafter.This book has purposely not been organized into any specific categories. Experience through the years has taught me that this style of non-categorization is easier for the general masses who are not scholars or students of knowledge. I am also aware that many languages exists out there in which the hadiths of the Prophet have not yet been translated. This is why, Allah-willing, my intention is to have this small work translated into at least 30 different languages.",,,,December 16th 2013,[],ebook,,B00EUF282O,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384949219l/18513760.jpg,4.41,[],90.0,1.0,,,,92.0,290.0,45,Darussalam Publishers,"['201', '47', '18', '7', '17']",,[],,"['Abdul Malik Mujahid', 'Darussalam']"
20 Cerpen Indonesia Terbaik 2009: Anugerah Sastra Pena Kencana,,"['Short Stories', 'Indonesian Literature']","Dua puluh cerpen di buku ini dipilih dari ratusan cerpen yang telah terbit di sekian banyak koran sejak akhir 2007 sampai akhir 2008. Setelah itu, cerpen-cerpen ini melewati saringan juri Pena Kencana yang terdiri atas Triyanto Triwikromo, Budi Darma dan Putu Wijaya. Terdapat variasi tema yang amat kaya dari 20 pengarang terpilih. Tahun lalu, cerpen ""Cinta di Atas Perahu Cadik"" karya Seno Gumira Ajidarma muncul sebagai pemenang berdasar pilihan terbanyak pembaca melalui sms.Para Penulis:Agus Noor, A.S. Laksana, Ayu Utami, Azhari, Danarto, Eka Kurniawan, F. Dewi Ria Utari, Gunawan Maryanto, Intan Paramaditha, Lan Fang, Linda Christanty, M. Iksaka Banu, Naomi Srikandi, Nukila Amal, Putu Wijaya, Ratih Kumala, Stefanny Irawan, Triyanto Triwikromo, Zaim Rofiqi, Zelfeni Wimra",Anugerah Sastra Pena Kencana,,,February 2009,[],Paperback,,9789792243574,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1235654959l/6293883.jpg,3.57,[],94.0,1.0,,,,89.0,132.0,176,Gramedia Pustaka Utama,"['23', '50', '44', '9', '6']",,[],,"['Agus Noor', 'A. S Laksana', 'Ayu Utami', 'Intan Paramaditha', 'Linda Christanty', 'M. Iksaka Banu', 'Naomi Srikandi', 'Nukila Amal']"
2011 Children's Writer's & Illustrator's Market [With Access Code],,['Writing'],"Now includes a subscription to CWIM online (the children's publishing area of writersmarket.com). The 2011 CWIM offers more than 650 listings for book publishers, magazines, agents, art reps and more. It's completely updated and is the most trusted source for children's publishing information. CWIM also contains exclusive interviews with and articles by well-respected and award-winning authors, illustrators, and publishing professionals as well as nuts-and-bolts how-to information. Readers will learn what to do, how to do it, and get loads of information and inspiration.",,,,August 9th 2010,[],Paperback,,9781582979526,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430624990l/8609296.jpg,4.32,[],97.0,1.0,,,,98.0,41.0,440,Writer's Digest Books,"['20', '15', '5', '1', '0']",,[],,"['Alice Pope', 'Carmela Martino']"
22 Britannia Road,,"['Historical Fiction', 'Fiction', 'World War II', 'Historical', 'War', 'British Literature', 'Poland', 'Audiobook', 'Holocaust', 'Family']","A tour de force that echoes modern classics like Suite Francaise and The Postmistress.At the end of the Second World War, Silvana and eight-year-old Aurek board the ship that will take them from Poland to England. After living wild in the forests for years, carrying a terrible secret, all Silvana knows is that she and Aurek are survivors. Everything else is lost. Waiting in Ipswich is Silvana's husband Janusz, who has not seen his wife and son for six years. He has found his family a house and works hard planting a proper English garden to welcome them. But the six years apart have changed them all. To make a real home, Silvana and Janusz will have to come to terms with what happened during the war, accept that each is different, and allow their beloved but wild son Aurek to be who he truly is.",,,04/01/11,April 28th 2011,[],Audio CD,,9781611760033,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354984677l/10158656.jpg,3.63,['Goodreads Choice Award Nominee for Historical Fiction (2011)'],100.0,1.0,,,,91.0,11132.0,12,Penguin Group (USA),"['1890', '4498', '3696', '883', '165']",,"['Poland', 'London, England']",,"['Amanda Hodgkinson', 'Robin Sachs']"
2586 Kroków,,"['Fantasy', 'Polish Literature', 'Fiction', 'Science Fiction', 'Horror', 'Short Stories', 'Poland', 'Urban Fantasy', 'Audiobook', 'Mine']","I znowu odliczamy 2586 kroków... Tylko tyle. I aż tyle. Opowiadanie po opowiadaniu.To już V wydanie antologii, w nowej okładce, bez Wędrowycza, za to ze znakiem firmowym Pilipiuka w postaci niepowtarzalnego humoru i zdumiewających pomysłów. Czternaście historii, z których wieje grozą i mrocznym nastrojem. Odliczmy więc 2586 kroków...I krok: To jedna z najlepszych polskich antologii. Bardzo dobrze, lekko napisana, pełna świetnych pomysłów, ciekawa i świeża. Obowiązkowa rzecz na każdej półce. (Tomasz Kleta, Avatarae)II krok: 14 opowiadań zebranych w 1 książce to 13 różnych bohaterów, 14 niesamowitych historii, 14świetnych pomysłów i kilka godzin ciekawej lektury. (Piotr 'Szarik' Iwanicki, Playback)III krok: Najlepsze ze zbioru - tytułowe 2586 kroków i Wieczorne dzwony — to najdojrzalsze i najlepiej dopracowane opowiadania grozy, urzekające mrocznym nastrojem, bazującym na lęku przed chorobą, godne porównań do klimatów twórczości E. A. Poe. (Małgorzata Koczańska, Fahrenheit)Dalej liczcie już sami...Spis treści:„2586 kroków”„Samolot z dalekiego kraju”„Wieczorne dzwony”„Parszywe czasy”„Szansa”„Mars 1899”„W moim bloku straszy”„Atomowa ruletka”„Wiedźma Monika”„Griszka”„Bardzo obcy kapitał”„Vlana”„Szambo”„Strefa”",Światy Pilipiuka #1,,,April 5th 2005,['Dr Paweł Skórzewski'],Paperback,,9788389011565,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1209889717l/1711689.jpg,3.78,[],96.0,1.0,,,,91.0,1425.0,528,Fabryka Słów,"['344', '574', '380', '102', '25']",,['Poland'],,['Andrzej Pilipiuk']
24 HOURS TO BREXIT (BENEFICIARIES ODYSSEY Book 1),,[],"There are only 24-hours left to save the Brexit deal with Europe, but in the world of UK politics, nothing is agreed until everything is agreed. This story is a technothriller embracing alternative history for debate. As our lives get drastically changed by technology, we can actively use this as a lens through which we all embrace change, and our ability to cope with broader social and ethical issues in the society. Ada Eugène Kowalski, a rising political star, is thrust into the limelight just as the Prime Minister has resigned from office due to allegations of misconduct. Unbeknownst to the public and her Cabinet, Ada Eugène Kowalski is a Beneficiary—the result of a series of experiments pieced together after a German man’s accident during the fall of the Berlin Wall. Ada doesn't have the faintest idea how to run a country, let alone guide the UK through complex Brexit negotiations and the previous PM’s scandal. All Ada knows is there is no other option but to form alliances with old foes to save the country. Will Ada be able to navigate the complex world of The Consortium that wants to take over the world, the mysterious Factory of Spare Parts conducting military experiments on humans, the general public's propensity for sudden riots, and Parliament to bring the UK through Brexit in one piece?",,,,December 16th 2018,[],Kindle Edition,,B07LDY1D3H,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545156822l/43264365._SY475_.jpg,5.0,[],100.0,1.0,,,,100.0,3.0,89,StellarArt Publishing,[],,[],,['Appollonia Solange']
2061,Odyssey Three,Computers,Science fiction-roman.,,,,1997.0,,,0586203192,9780586203194,,http://books.google.com/books/content?id=uSj0D8f70LUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.55,,,,,,,,,302.0,,,20216.0,,,['Arthur C. Clarke']
2010: Odyssey Two,,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Space', 'Novels', 'Fantasy', 'Space Opera', 'Adventure', 'Speculative Fiction']","When 2001: A Space Odyssey first shocked, amazed, and delighted millions in the late 1960s, the novel was quickly recognized as a classic. Since then, its fame has grown steadily among the multitudes who have read the novel or seen the film based on it. Yet, along with almost universal acclaim, a host of questions has grown more insistent through the years:Who or what transformed Dave Bowman into the Star-Child? What purpose lay behind the transformation? What would become of the Star-Child?What alien purpose lay behind the monoliths on the Moon and out in space?What could drive HAL, a stable, intelligent computer, to kill the crew? Was HAL really insane? What happened to HAL and the spaceship Discovery after Dave Bowman disappeared?Would there be a sequel?Now all those questions and many more have been answered. In this stunning sequel to his international bestseller, Clarke has written what will truly be one of the great books of the '80s. Cosmic in sweep, eloquent in its depiction of Man's place in the Universe, and filled with the romance of space, this novel is a monumental achievement.",Space Odyssey #2,,12/28/82,February 25th 1997,"['Heywood Floyd', 'HAL 9000', 'Dave Bowman']",Paperback,,9780345413970,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388271989l/70539.jpg,3.92,"['Hugo Award Nominee for Best Novel (1983)', 'Eugene M. Emme Astronautical Literature Award (1984)']",260.0,5.0,,,,95.0,49549.0,320,Del Rey,"['13483', '21157', '12634', '2000', '275']",,[],,['Arthur C. Clarke']
2001: A Space Odyssey,,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Novels', 'Fantasy', 'Audiobook', 'Literature', 'Speculative Fiction']","On the Moon, an enigma is uncovered.

So great are the implications of this discovery that for the first time men are sent out deep into our solar system.

But long before their destination is reached, things begin to go horribly, inexplicably wrong...

One of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",Space Odyssey #1,,04/28/68,09/01/00,"['Heywood Floyd', 'HAL 9000', 'Dave Bowman', 'Frank Poole']",Paperback,,9780451457998,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432468943l/70535._SY475_.jpg,4.15,[],16704.0,226.0,,,,95.0,259477.0,297,Roc,"['110131', '93936', '42694', '8902', '3814']",,['Outer Space'],,['Arthur C. Clarke']
2061: Odyssey Three,,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space', 'Classics', 'Novels', 'Fantasy', 'Adventure', 'Space Opera', 'Audiobook']","Arthur C. Clarke, creator of one of the world's best-loved science fiction tales, revisits the most famous future ever imagined in this NEW YORK TIMES bestseller, as two expeditions into space become inextricably tangled. Heywood Floyd, survivor of two previous encounters with the mysterious monloiths, must again confront Dave Bowman, HAL, and an alien race that has decided that Mankind is to play a part in the evolution of the galaxy whether it wishes to or not. --This text refers to an out of print or unavailable edition of this title.",Space Odyssey #3,,November 12th 1987,November 1997,"['Heywood Floyd', 'HAL 9000', 'Dave Bowman']",Paperback,,9780586203194,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347907073l/35816.jpg,3.57,[],31.0,2.0,,,,89.0,25970.0,302,Voyager,"['4693', '8727', '9685', '2490', '375']",,[],,['Arthur C. Clarke']
2001 A SPACE ODYSSEY/2010 ODYSSEY TWO/2061 ODYSSEY THREE/3001 THE FINAL ODYSSEY,,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Unfinished']",4 SPACE ODYSSEY SERIES BY ARTHUR C. CLARKE,Space Odyssey #1-4,,,Published,[],Hardcover,,9788846201287,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401539052l/22381622.jpg,4.18,[],98.0,1.0,,,,96.0,273.0,,DEL REY,"['109', '113', '41', '10', '0']",,[],,['Arthur C. Clarke']
