title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
4:50 from Paddington,,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook', 'Murder Mystery', 'Thriller']","For an instant the two trains ran together, side by side. In that frozen moment, Elspeth witnessed a murder. Helplessly, she stared out of her carriage window as a man remorselessly tightened his grip around a woman’s throat. The body crumpled. Then the other train drew away.But who, apart from Miss Marple, would take her story seriously? After all, there were no suspects, no other witnesses... and no corpse.",Miss Marple #8,,11/04/57,March 30th 2007,"['Lucy Eyelesbarrow', 'Elspeth McGillicuddy', 'Luther Crackenthorpe', 'Cedric Crackenthorpe', 'Harold Crackenthorpe', 'Alfred Crackenthorpe', 'Emma Crackenthorpe', 'Bryan Eastley', 'Alexander Eastley', 'Dr. Quimper', 'Dermot Craddock', 'Miss Marple', 'Frank Cornish', 'Edmund Crackenthorpe', 'Martine Dubois', 'Mrs. Kidder', 'James Stoddart-West', 'Dr. Morris (4:50 from Paddington)', 'Mr. Wimborne', 'Anna Stravinska', 'Madame Joilet', 'Armand Dessin', 'Inspector Bacon']",Hardcover,,9781579126933,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388324483l/140278.jpg,3.96,[],219.0,5.0,,,,96.0,44241.0,288,Black Dog & Leventhal Publishers,"['12625', '18930', '11079', '1330', '277']",,"['Brackhampton (United Kingdom)', 'St. Mary Mead, England (United Kingdom)', 'Paris (France)']",,['Agatha Christie']
4.50 From Paddington/They Do It With Mirrors,,"['Mystery', 'Crime', 'Fiction']","4.50 From Paddington: Two trains briefly draw alongside each other as they race past a country house and --to her horror-- Mrs. McGillicuddy witnesses a murder in a passing train car. But no body is found, and the police decide Mrs. McGillicuddy must have dreamed the incident. Miss Marple believes otherwise and persuades a bright young friend to help her investigate.They Do It With Mirrors: Miss Jane Marple finds herself investigating murder when, at the urging of Ruth Van Rydock who has premonitions of foul play, she visits Stonygates, home of her friend Carrie Louise Serrocold and a treatment center for juvenile delinquents.",,Collected Works,10/30/57,1976,[],Leather Bound,,9780921111498,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327788696l/1435283.jpg,3.84,[],97.0,1.0,,,,95.0,273.0,473,Omniprose Limited,"['71', '101', '88', '13', '0']",,[],,"['Agatha Christie', 'Devis Grebu', 'Monique Gaudriault']"
40 Ways To Please A Good Woman: For Good Men,,[],"I was asked by a man that has befriended me on a popular social network site to write 40 Ways To Please A Good Woman right after I released my newest title June 10th 2013 titled 40 Ways To Please A Good Man. This was so interesting to me because it became my new niche of writing and I was excited just thinking about what I was going to write. 40 ways is not intended to be given to just anyone but a good woman likewise a good man. When we decide to give 40 ways to the wrong person that can hurt us beyond compare. The 40 ways is to put that spark, kindle, flame and passion right back into your relationships that may be a bit dry and sour so fasten your seat belts and enjoy the 40 Ways and remember marriage is pleasing to God always.",,,06/12/13,June 13th 2013,[],Paperback,,9781490431208,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400844965l/18956250.jpg,3.0,[],90.0,1.0,,,,,2.0,56,Createspace Independent Publishing Platform,[],,[],,['Aleja Bennett']
40 Ways To Please A Good Man (40 Ways To Please a Good Woman),,[],"After several hours of long intimate chats with men I decided to write a book just for women with the real thoughts and gestures of what men really want, like, and desire from us. Often we think we are doing it all to please him when we are really not so to all the women in their forties this special book is a gift from me to you. Don't lose what you already have and don't let yourself go no matter how much weight you have gained you can still be very alluring to your mate.",,,06/09/13,October 26th 2013,[],Kindle Edition,,B00G8AJCNC,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385876419l/19077876.jpg,3.67,[],93.0,1.0,,,,,3.0,54,Create Space,[],,[],,['Aleja Bennett']
40 Things I Want To Tell You,,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Chick Lit', 'Young Adult Contemporary', 'Canada', 'Love', 'Realistic Fiction', 'Own']","Amy (a.k.a. Bird) seems to have the perfect life: loving parents, a hot boyfriend, the best friend ever. She even writes an online advice column, full of Top Tips, to help other teens take control of their lives. But after a new guy shows up at school, Bird can’t seem to follow her own wisdom.Pete is the consummate bad boy. He’s everything Bird is not: wild, unambitious and more than a little dangerous. Although she knows he’s trouble, Bird can’t stay away. And the more drawn she is to Pete, the more cracks are revealed in her relationship with Griffin, her doting boyfriend. Meanwhile, her parents’ marriage is also fracturing, possibly for good.Bird is way out of her comfort zone. All it takes is one mistake, one momentary loss of control, for her entire future to be blown away . . .",,,,February 10th 2012,[],Paperback,,9781443405874,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328630912l/13037601.jpg,3.21,['Canadian Library Association Young Adult Book Award Nominee (2013)'],95.0,1.0,,,,74.0,1347.0,286,HarperTrophy Canada,"['218', '321', '461', '226', '121']",,[],,['Alice Kuipers']
44 Charles Street,,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Audiobook', 'Drama', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Novels']","A magical transformation takes place in Danielle Steel’s luminous new novel: strangers become roommates, roommates become friends, and friends become a family in a turn-of-the-century house in Manhattan’s West Village. The plumbing was prone to leaks, the furniture rescued from garage sales. And every square inch was being devotedly restored to its original splendor—even as a relationship fell to pieces. Now Francesca Thayer, newly separated from her lawyer boyfriend Todd, is desperate. The owner of a struggling art gallery, and suddenly the sole mortgage payer on her Greenwich Village townhouse, Francesca does the math and then the unimaginable. She puts out an advertisement for boarders. Soon her house becomes a whole new world.First comes Eileen, a fresh, pretty L.A. transplant, now a New York City schoolteacher. Then there’s Chris, a young father struggling with a troubled ex-wife and the challenge of parenting a seven-year-old son who visits every other weekend. The final tenant is Marya, a celebrated cookbook author hoping to start a new chapter in her life after the death of her husband. As Francesca’s art gallery begins to find its footing and Todd moves on to another woman, she discovers that her accidental tenants have become the most important people in her life. As the roommates bond, and the house fills with the aroma of Marya’s exquisite cuisine, there are shadows as well as light. Naïve Eileen explores the precarious boundaries of online dating with a series of strangers. Chris’s custody fight for his son escalates to devastating levels. Marya faces an unexpected choice that will take her into untested waters. And Francesca herself will contemplate what had seemed impossible: opening her heart once more.Over the course of one amazing, unforgettable, ultimately life-changing year, the house at 44 Charles Street fills with laughter, heartbreak, and, always, hope. In the hands of master storyteller Danielle Steel, it’s a place those who visit will never want to leave.",,,11/06/06,April 5th 2011,['Francesca Thayer'],Hardcover,,9780385343145,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320554863l/8719258.jpg,3.71,[],87.0,1.0,,,,87.0,9349.0,336,Delacorte Press,"['2652', '2914', '2533', '899', '351']",,"['New York City, New York (United States)']",,['Danielle Steel']
48,,"['Horror', 'Fiction', 'Thriller', 'Historical Fiction', 'Post Apocalyptic', 'Historical', 'Science Fiction', 'Alternate History', 'Dystopia', 'War']","In 1945, Hitler unleashed the Blood Death on Britain as his final act of vengeance.Those who died at once were the lucky ones. The really unfortunate took years. The survivors - people like me, who had the blood group that kept us safe from the disease - were now targets for those who believed our blood could save them.I survived for three years. I lived alone, spending my days avoiding the fascist Blackshirts who wanted my blood for their dying leader. Then I met the others - and life got complicated all over again . . .",,,11/04/96,1999,[],,,9782258049048,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179544686l/929901._SY475_.jpg,3.76,[],188.0,2.0,,,,90.0,3058.0,336,Presses de la Cité,"['825', '1053', '872', '252', '56']",,"['London, England']",,['James Herbert']
4th of July,,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Mystery Thriller', 'Murder Mystery', 'Audiobook', 'Adult', 'Detective']","The world's bestselling detective series has never been more suspenseful. Trapped in deadly showdowns, courtroom trials, and dangerous secrets, the Women's Murder Club must fight for their lives.In a deadly late-night showdown, San Francisco police lieutenant Lindsay Boxer fires her weapon and sets off a dramatic chain of events that leaves a police force disgraced, a family destroyed, and Lindsay herself at the mercy of twelve jurors. During a break in the trial, she retreats to a picturesque town that is reeling from a string of grisly murders-crimes that bear a link to a haunting, unsolved case from her rookie years.Now, with her friends in the Women's Murder Club, Lindsay must battle for her life on two fronts: in a trial rushing to a climax, and against an unknown adversary willing to do anything to hide the truth about the homicides-including kill again?",Women's Murder Club #4,,05/02/05,June 1st 2006,"['Lindsay Boxer', 'Claire Washburn', 'Yuki Castellano', 'Cindy Thomas']",Paperback,,9780446613361,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388186955l/33668.jpg,4.07,[],77.0,1.0,,,,97.0,74319.0,416,Vision,"['26088', '30235', '15508', '2062', '426']",,"['San Francisco, California (United States)']",,"['James Patterson', 'Maxine Paetro']"
47 Ronin,,"['Fantasy', 'Historical Fiction', 'Fiction', 'Adventure', 'Historical', 'Action', 'Japan', 'Asia', 'Romance', 'Science Fiction Fantasy']"," ONIX Description125757From ancient Japan's most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born. Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 Ronin. Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind. To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors. 47 Ronin is helmed by visionary director Carl Erik Rinsch (The Gift). Inspired by styles as diverse as Miyazaki and Hokusai, Rinsch will bring to life the stunning landscapes and enormous battles that will display the timeless Ronin story to global audiences in a way that's never been seen before.",,,,November 26th 2013,[],Paperback,,9780765380197,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400886362l/22292505.jpg,3.93,[],98.0,1.0,,,,93.0,457.0,446,Tor Books,"['155', '156', '114', '25', '7']",,[],,"['Joan D. Vinge', 'Chris Morgan', 'Hossein Amini']"
48 Hours to Chaos: An Engineer Looks at Life and How the World Really Works,,"['Science', 'Nonfiction']","Let this book guide you along a clearly marked path through the mysteries of science, history, politics, philosophy, religion, psychology, government and human behavior so that you may pick up clues about how to conduct your life and enhance your prosperity. Let the perspective of an engineer show you the way to understanding amidst the many conflicting choices presented by modern civilization. Learn how the world really works.",,,,February 1st 2011,[],Paperback,,9780983163602,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348026651l/11156050.jpg,4.17,[],96.0,1.0,,,,100.0,12.0,314,Dennett Ink,"['5', '4', '3', '0', '0']",,[],,['John D. Waterman']
