title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
95 Pounds of Hope,,"['France', 'Fiction', 'Young Adult', 'Contemporary', 'Childrens', 'Read For School', 'French Literature', 'School', 'Middle Grade', 'Short Stories']","Gregory has never liked school. And now that he's in sixth grade, life has only gotten worse. He's been held back twice and expelled once. His parents think he should go to boarding school, but his only happy moments have been found in his grandfather's cluttered shed, among the tools he uses to build his inventions. Grandfather has been his only supporter, but now even he is urging Gregory to take control of his life. Gregory has to wonder if a fresh start-in school and in life-might not be such a terrible idea after all. This fresh, funny, direct story will resonate with every reader who has ever felt like a square peg in a round hole.",,,11/06/02,September 15th 2003,['Grégoire'],Hardcover,,9780670036721,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309202550l/47778.jpg,3.83,['Deutscher Jugendliteraturpreis Nominee for Kinderbuch (2005)'],92.0,1.0,,,,89.0,3079.0,96,Viking Juvenile,"['964', '1022', '766', '259', '68']",,['France'],,"['Anna Gavalda', 'Gill Rosner']"
99 Coffins,,"['Horror', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Supernatural', 'Urban Fantasy', 'Adult', 'Historical', 'Historical Fiction']","A dark secret buried beneath our bloodiest battlefieldLaura Caxton vowed never to face them again. The horror of what the vampires did is too close, the wounds too fresh. But when Jameson Arkeley, broken and barely recognizable, comes to her with an unfathomable, unholy discovery, her resolve crumbles.Arkeley leads Caxton to a tomb in Gettysburg recently excavated by a local archaeology professor. While the town, with its legendary role in the Civil War’s worst battle, is no stranger to cemeteries, this one is remarkably, eerily different. In it lie 100 coffins—99 of them occupied by vampires, who, luckily, are missing their hearts. But one of the coffins is empty and smashed to pieces.Who is the missing vampire? Does he have access to the 99 hearts that, if placed back in the bodies of their owners, could reanimate an entire bloodthirsty army? How did the vampires end up there, undisturbed and undiscovered for 150 years? The answer lies in Civil War documents that contain sinister secrets about the newly found coffins—secrets that Laura Caxton is about to uncover as she is thrown into a deadly, gruesome mission of saving an entire town from a mass invasion of the undead…",Laura Caxton #2,,01/01/07,December 31st 2007,[],Paperback,,9780307381712,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320528117l/1441722.jpg,3.79,[],93.0,1.0,,,,92.0,2096.0,295,Broadway Books,"['536', '786', '615', '122', '37']",,[],,['David Wellington']
90 Minutes in Heaven: A True Story of Death and Life,,"['Christian', 'Nonfiction', 'Religion', 'Spirituality', 'Biography', 'Memoir', 'Inspirational', 'Christianity', 'Autobiography', 'Faith']","As he is driving home from a minister's conference, Baptist minister Don Piper collides with a semi-truck that crosses into his lane. He is pronounced dead at the scene. For the next 90 minutes, Piper experiences heaven where he is greeted by those who had influenced him spiritually. He hears beautiful music and feels true peace. Back on earth, a passing minister who had also been at the conference is led to pray for Don even though he knows the man is dead. Piper miraculously comes back to life and the bliss of heaven is replaced by a long and painful recovery. For years Piper kept his heavenly experience to himself. Finally, however, friends and family convinced him to share his remarkable story.",,,01/01/04,September 1st 2004,[],Paperback,,9780800759490,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441247008l/89375._SY475_.jpg,3.94,[],517.0,7.0,,,,90.0,83011.0,207,Fleming H. Revell Company,"['32549', '24139', '17800', '5904', '2619']",,[],,"['Don Piper', 'Cecil Murphey']"
95 Poems,,"['Poetry', 'Classics', 'Romance', 'Fiction', 'Literature', 'American']","Published in 1958, 95 Poems is the last book of new poems published in Cummings's lifetime. Remarkable for its vigor, freshness, interest in ordinary individuals, and awareness of the human life cycle, the book reflects Cummings's observations on nature and his prevailing gratitude for whatever life offers: ""Time's a strange fellow: more he gives than takes."" This new edition joins other individual uniform Liveright paperback volumes drawn from the Complete Poems, most recently Etcetera and 22 and 50 Poems.",,,10/30/58,August 17th 2002,[],Paperback,,9780871401816,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347622302l/237900.jpg,4.27,['National Book Award Finalist for Poetry (1959)'],96.0,1.0,,,,95.0,1891.0,128,Liveright,"['965', '568', '269', '74', '15']",,[],,"['E. E Cummings', 'George J. Firmage']"
99 francs,,"['Fiction', 'France', 'Contemporary', 'French Literature', 'Novels', 'Roman', 'Literature', 'Modern', 'Humor', 'Business']","En ce temps-là, on mettait des photographies géantes de produits sur les murs, les arrêts d'autobus, les maisons, le sol, les taxis, les camions, la façade des immeubles en cours de ravalement, les meubles, les ascenseurs, les distributeurs de billets, dans toutes les rues et même à la campagne. La vie était envahie par des soutiens-gorge, des surgelés, des shampoings antipelliculaires et des rasoirs triple-lame. L'œil humain n'avait jamais été autant sollicité de toute son histoire : on avait calculé qu'entre sa naissance et l'âge de 18 ans, toute personne était exposée en moyenne à 350 000 publicités. Même à l'orée des forêts, au bout des petits villages, en bas des vallées isolées et au sommet des montagnes blanches, sur les cabines de téléphérique, on devait affronter des logos ""Castorama"", ""Bricodécor"", ""Champion Midas"" et ""La Halle aux Vêtements"". Il avait fallu deux mille ans pour en arriver là.",Octave Parango #1,,08/28/00,July 31st 2004,['Octavo Parengo'],Paperback,,9782070315734,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1314122626l/1062375.jpg,3.57,['Independent Foreign Fiction Prize Nominee for Shortlist (2003)'],571.0,7.0,,,,84.0,12934.0,304,Gallimard,"['2926', '4202', '3705', '1477', '624']",,[],,['Frédéric Beigbeder']
99 Cahaya di Langit Eropa: Perjalanan Menapak Jejak Islam di Eropa,,"['Novels', 'Travel', 'Islam', 'Religion', 'Fiction', 'Adventure', 'Indonesian Literature', 'Travelogue', 'Spirituality', 'True Story']","Aku mengucek-ucek mata. Lukisan Bunda Maria dan Bayi Yesus itu terlihat biasa saja. Jika sedikit lagi saja hidungku menyentuh permukaan lukisan, alarm di Museum Louvre akan berdering-dering. Aku menyerah. Aku tidak bisa menemukan apa yang aneh pada lukisan itu. ""Percaya atau tidak, pinggiran hijab Bunda Maria itu bertahtakan kalimat tauhid Laa Ilaaha Illallah, Hanum,"" ungkap Marion akhirnya.***Apa yang Anda bayangkan jika mendengar ""Eropa""? Eiffel? Colosseum? San Siro? Atau Tembok Berlin?Bagi saya, Eropa adalah sejuta misteri tentang sebuah peradaban yang sangat luhur, peradaban keyakinan saya, Islam.Buku ini bercerita tentang perjalanan sebuah ""pencarian"". Pencarian 99 cahaya kesempurnaan yang pernah dipancarkan Islam di benua ini.Dalam perjalanan itu saya bertemu dengan orang-orang yang mengajari saya, apa itu Islam rahmatan lil alamin. Perjalanan yang mempertemukan saya dengan para pahlawan Islam pada masa lalu. Perjalanan yang merengkuh dan mendamaikan kalbu dan keberadaan diri saya.Pada akhirnya, di buku ini Anda akan menemukan bahwa Eropa tak sekadar Eiffel atau Colosseum. Lebih... sungguh lebih daripada itu.",,,,July 2011,[],Paperback,,9789792272741,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312335263l/12252878.jpg,4.21,[],185.0,2.0,,,,95.0,5899.0,424,Gramedia Pustaka Utama,"['2834', '1929', '828', '180', '128']",,[],,"['Hanum Salsabiela Rais', 'Rangga Almahendra']"
99 Quotes and Affirmations For Self-Love & Personal Development,,[],,,,,July 13th 2020,[],Paperback,,9798664468717,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595012383l/54569825._SY475_.jpg,5.0,[],98.0,1.0,,,,100.0,2.0,,,[],,[],,['Izey Victoria Odiase']
99 Days,,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Young Adult Contemporary', 'Audiobook', 'Chick Lit', 'Young Adult Romance', 'Teen']","Day 1: Julia Donnelly eggs my house my first night back in Star Lake, and that’s how I know everyone still remembers everything—how I destroyed my relationship with Patrick the night everything happened with his brother, Gabe. How I wrecked their whole family. Now I’m serving out my summer like a jail sentence: Just ninety-nine days till I can leave for college, and be done.Day 4: A nasty note on my windshield makes it clear Julia isn’t finished. I’m expecting a fight when someone taps me on the shoulder, but it’s just Gabe, home from college and actually happy to see me. “For what it’s worth, Molly Barlow,” he says, “I’m really glad you’re back.”Day 12: Gabe got me to come to this party, and I’m actually having fun. I think he’s about to kiss me—and that’s when I see Patrick. My Patrick, who’s supposed to be clear across the country. My Patrick, who’s never going to forgive me.",99 Days #1,,,April 21st 2015,"['Molly Barlow', 'Gabe Donnelly']",Hardcover,,9780062216380,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413808926l/22836575.jpg,3.37,[],93.0,1.0,,,,78.0,18336.0,384,Balzer + Bray,"['3445', '5212', '5656', '2809', '1214']",,['New York State (United States)'],,['Katie Cotugno']
9-11,,"['Politics', 'Nonfiction', 'History', 'Philosophy', 'Political Science', 'War', 'Sociology', 'Terrorism', 'Essays', 'United States']","In 9-11, Noam Chomsky comments on the September 11th attacks, the new war on terrorism, Osama bin Laden, U.S. involvement with Afghanistan, media control, and the long-term implications of America's military attacks abroad. Informed by his deep understanding of the gravity of these issues and the global stakes, 9-11 demonstrates Chomsky's impeccable knowledge of U.S. foreign policy in the Middle East and South Asia, and sheds light on the rapidly shifting balance of world power. Speaking out against escalating violence, Chomsky critically examines the United States' own foreign policy record and considers what international institutions might be employed against underground networks and national states accused of terrorism. 9-11's analysis still stands as a measure of how well the media is able to serve its role of informing the citizenry, so crucial to our democracy in times of war.",,,11/30/01,December 4th 2001,[],Paperback,,9781583224892,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387959573l/38338.jpg,3.73,[],100.0,1.0,,,,91.0,3549.0,140,Seven Stories Press,"['803', '1369', '1054', '255', '68']",,[],,"['Noam Chomsky', 'Greg Ruggiero', 'Marili Margomenou', 'Miguel Mora', 'Natalie Levisalles', 'Il Manifesto', 'Hartford Courant', 'David Barsamian']"
9-11 [neuf-onze],,Political Science,"Presents a series of interviews conducted during the first month following the terrorist attacks of September 11, 2001, that discuss reactions to the attacks in the U.S. and abroad, U.S. foreign policy, and the new war on terrorism.",,,,2001.0,,,1583224890,9781583224892,,http://books.google.com/books/content?id=E5NoWOUhcpYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.73,,,,,,,,,140.0,,,2981.0,,,"['Noam Chomsky', 'Institute Professor', 'Professor Of Linguistics Noam Chomsky']"
