title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
7 Souls,,"['Young Adult', 'Paranormal', 'Fantasy', 'Mystery', 'Thriller', 'Horror', 'Supernatural', 'Ghosts', 'Fiction', 'Contemporary']","Mary expected her seventeenth birthday to be a blowout to remember, courtesy of her best friends, fellow New York City prepsters Amy and Joon, and her doting boyfriend, Trick.            Instead, the day starts badly and gets worse. After waking up in a mortifying place with a massive, unexplainable hangover, Mary soon discovers that nobody at school is even aware that it's her birthday. As evening approaches, paranoia sets in. Mary just can't shake the feeling that someone is out to get her—and, as it turns out, she's right. Before the night is over, she's been killed in cold blood.            But murder is just the beginning of Mary's ordeal. Her soul gets trapped in a strange limbo, and she must relive the day of her death through the eyes of seven people—each of whom, she finds, had plenty of reasons to hate her. As Mary explores the mysteries of her world, discovering secrets that were hidden in plain sight while she was alive, she clings desperately to the hope that she can solve her own murder, change the past, and—just maybe—save her own life.            With its blend of suspense, horror, fantasy, and realism, 7 Souls is an adrenaline rush of a thriller.",,,10/30/10,July 13th 2010,['Mary Shayne'],Hardcover,,9780385736732,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320509722l/7091296.jpg,3.58,[],96.0,1.0,,,,84.0,859.0,384,Delacorte Books for Young Readers,"['205', '264', '254', '97', '39']",,[],,"['Barnabas Miller', 'Jordan Orlando']"
7,,"['Turkish Literature', 'Turkish', 'Novels', 'Fiction']","""Tanrı"" mıdır yazar? Yoksa, romana sızmış, balodan kaçan, sinir bir karakter mi? ""Aşk"" mümkün müdür, iki cins arasında, yoksa, iktidar hırsı her şeyi yener mi?... Yazar, ""Peygamberini"", doğru seçebilir mi?",,,11/06/92,August 1996,['Hakan'],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462579417l/6526307.jpg,3.89,[],88.0,1.0,,,,90.0,269.0,209,İyi Şeyler,"['93', '87', '62', '20', '7']",,"['Turkey', 'Istanbul (Turkey)']",,['Cem Akaş']
7 ans après...,,"['Romance', 'Thriller', 'Fiction', 'France', 'Contemporary', 'Novels', 'Roman', 'Mystery', 'Crime', 'French Literature']","Un divorce les avait séparés…… le danger va les réunirArtiste bohème au tempérament de feu, Nikki fait irruption dans la vie sage et bien rangée de Sebastian. Tout les oppose, mais ils s’aiment passionnément. Bientôt, ils se marient et donnent naissance à des jumeaux : Camille et Jeremy.Pourtant, le mariage tourne court : reproches, tromperies, mépris ; la haine remplace peu à peu l’amour. Au terme d’un divorce orageux, chacun obtient la garde d’un des enfants : Sebastian éduque sa fille avec une grande rigueur alors que Nikki pardonne facilement à son fils ses écarts de conduite. Les années passent. Chacun a refait sa vie, très loin de l’autre. Jusqu’au jour où Jeremy disparaît mystérieusement. Fugue ? Kidnapping ? Pour sauver ce qu’elle a de plus cher, Nikki n’a d’autre choix que de se tourner vers son ex-mari qu’elle n’a pas revu depuis sept ans. Contraints d’unir leurs forces, Nikki et Sebastian s’engagent alors dans une course-poursuite, retrouvant une intimité qu’ils croyaient perdue à jamais. Des rues de Paris au coeur de la jungle amazonienneUn thriller implacable brillamment construitUn couple inoubliable pris dans un engrenage infernal",,,,April 5th 2012,[],Paperback,,9782845635234,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333787736l/13582068.jpg,3.63,[],178.0,2.0,,,,86.0,6281.0,400,XO Editions,"['1469', '2057', '1886', '678', '191']",,[],,['Guillaume Musso']
79 Park Avenue,,"['Fiction', 'Romance', 'Contemporary', 'Drama', 'Thriller', 'Novels', 'New York', 'Law', 'Crime', 'Romantic Suspense']","A tale from master storyteller Harold Robbins ...Marja starts out a tough girl from the mean streets of New York. Ambitious and driven, over time she rises from street urchin to stripper, later re-inventing herself as Maryann Flood, the queen of an empire of pleasure. From her posh Park Avenue office, Maryann provides access to exciting and sensual women to sate the desires of New York's most powerful men.All is well-until Maryann runs afoul of the law and leaves her empire facing destruction. Arrested for procurement, blackmail, and bribery, she must face prosecutor Mike Keynes, who stands to benefit greatly by bringing her down-and who is facing a dilemma himself. He loves Maryann, and she loves him in return. Now he faces a choice: set aside his personal feelings for the sake of justice, or fall under Maryann's seductive spell and betray his life's work.The inspiration for the highly rated 1977 miniseries of the same name, 79 Park Avenue tells a sizzling tale of lust, power, and corruption.",,,01/06/55,September 2nd 1977,[],Paperback,,9780671818241,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558850089l/723724.jpg,3.83,[],54.0,2.0,,,,91.0,2155.0,320,Pocket Books,"['645', '722', '594', '155', '39']",,[],,['Harold Robbins']
7th Heaven,,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Mystery Thriller', 'Murder Mystery', 'Audiobook', 'Adult', 'Detective']","A terrible fire in a wealthy suburban home leaves a married couple dead and Detective Lindsay Boxer and her partner Rich Conklin searching for clues. And after California's golden boy, Michael Campion has been missing for a month, there finally seems to be a lead in his case--a very devastating lead.As fire after fire consume couples in wealthy, comfortable homes, Lindsay and the Murder Club must race to find the arsonists responsible and get to the bottom of Michael Campion's disappearance. But suddenly the fires are raging too close to home.Frightened for her life and torn between two men, Lindsay must find a way to solve the most daunting dilemmas she's ever faced--at work and at home.",Women's Murder Club #7,,,February 4th 2008,"['Lindsay Boxer', 'Claire Washburn', 'Yuki Castellano', 'Rich Conklin', 'Joe Molinari', 'Chuck Hanni', 'Cindy Thomas', 'Warren Jacobi']",Hardcover,,9780316017701,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438907237l/552894._SY475_.jpg,4.09,[],49.0,1.0,,,,97.0,53799.0,376,"Little, Brown and Company","['19324', '21935', '10749', '1449', '342']",,"['San Francisco, California (United States)']",,"['James Patterson', 'Maxine Paetro']"
7 Powers of Man: The energy to design destiny,,[],"7 Powers of Man beautifully unleashes the truth that all people have power. These are the 7 powers needed to accomplish anything in life; however, they are often dormant or underused. This book will inform, inspire and re-fire the reader to be all s/he was meant to be.",,,,November 15th 2018,[],Kindle Edition,,B07KLXFQ11,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542393140l/42844896._SY475_.jpg,4.5,[],21.0,1.0,,,,83.0,6.0,42,jjames,"['5', '0', '0', '1', '0']",,[],,['Jermaine James']
7000 Days In Siberia,,"['History', 'Nonfiction', 'Biography', 'Memoir', 'Autobiography', 'Historical', 'Survival', 'Biography Memoir', 'Politics']",,,New edition,10/30/71,October 13th 1989,[],Paperback,,9780552134866,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391358036l/2542652.jpg,4.39,[],99.0,1.0,,,,99.0,339.0,480,Corgi,"['172', '134', '28', '4', '1']",,[],,"['Karlo Štajner', 'Joel Agee']"
75 Years of Little Golden Books: 1942-2017,A Commemorative Set of 12 Best-loved Books,Animals,,,,,2017.0,,,0307001466,9780307001467,,,4.23,,,,,,,,,24.0,,,1047.0,,,"['Margaret Wise Brown', 'Ruth Krauss', 'Richard Scarry', 'Dennis R. Shealy', 'Kathryn Jackson', 'Byron Jackson', 'Janette Sebring Lowrey', 'Gertrude Crampton', 'Jane Werner Watson']"
7 Powerful Questions to Discover Your Dream Life,,['Nonfiction'],"The quality of our lives is determined by the quality of the questions we ask.Melvil Dewey, inventor of the Dewey Decimal System, believed that a well stated problem was half solved. Albert Einstein was once asked: “If you have one hour to save the world, how would you spend that hour?” He replied, “I would spend 55 minutes defining the problem and then five minutes solving it.”What if within you already lies the answers to all your current challenges and the power to pursue your greatest life?The right answers come from asking the right questions. Enabling you to unlock innate-knowing and self-trust that propels you toward a life that is aligned with all your passions, talents, and gifts.7 Powerful Questions to Discover Your Dream Life, is a concise blueprint that guides you through deep reflections to decipher the clues that are already in your life. The clues that point you to the path of your greatest life. These clues can be used to help create a new North Star that will move you forward with renewed confidence, inspiration, and passion. This book shows you how to read those clues.The first step toward your greatest life is clarity, without this, nothing is possible. Following the steps in this blueprint will help you achieve clarity on what your best life looks like. A life where you are empowered, fulfilled, and happy in all dimensions: career, relationships, health, self-expression, time, freedom, and abundance. A life where you feel completely aligned with your passions, talents, and gifts, and where you are able to express, contribute, and develop in all the areas and ways that make you feel alive and joyful. In 7 Powerful Questions to Discover Your Dream Life, you will be guided to develop clarity and also learn the one question that will enable you to look within for the answers to move forward on any dreams of your heart.Step into a new approach for living and find yourself moving confidently in the direction of your most extraordinary life in every way…finding authentic joy, happiness, love, and fulfillment. Ask yourself these 7 Powerful Questions to Discover Your Dream Life today.",,1st,,November 11th 2017,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510455958l/36579405._SY475_.jpg,4.38,[],100.0,1.0,,,,100.0,13.0,89,Amazon Digital Services LLC,"['7', '4', '2', '0', '0']",,[],,"['Ngan H. Nguyen', 'Jennifer Jas']"
7 Steps to Midnight,,Fiction,"After his identity and life is stolen by a mysterious imposter, mathematician Chris Barton must elude killers as he follows a series of cryptic messages that lead him around the world to a rendezvous with an enigmatic woman. By the author of Somewhere in Time. Reprint. 20,000 first printing.",,,,2003.0,,,0765308371,9780765308375,,http://books.google.com/books/content?id=EgI7aR2Tw_8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.48,,,,,,,,,320.0,,,415.0,,,['Richard Matheson']
